Index,LCSC#,MPN,Manufacturer,Package,,Description,,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
79,C2940716,10ZLH150MEFC5X11,Rubycon,"Through Hole,D5xL11mm",,"150uF 10V Aluminum Electrolytic Capacitors Through Hole,D5xL11mm",,10,10,10,0.0564,0.56,https://www.lcsc.com/product-detail/C2940716.html
80,C2655004,AK09918C,AKM,WLCSP-4(0.8x0.8),,"WLCSP-4(0.8x0.8) Linear, Compass (ICs) RoHS",,1,1,1,0.4278,0.43,https://www.lcsc.com/product-detail/C2655004.html
81,C2864845,TPS259474LRPWR,TI,VQFN-10-HR(2x2),,Surge Protection IC 2.7V~23V VQFN-10-HR(2x2),,2,1,1,1.3255,2.65,https://www.lcsc.com/product-detail/C2864845.html
82,C2651328,ADS1115IRUGR,TI,X2-QFN-10(1.5x2),,I2C 2V~5.5V X2-QFN-10(1.5x2) Analog to Digital Converters (ADC) RoHS,,1,1,1,2.0409,2.04,https://www.lcsc.com/product-detail/C2651328.html
83,C7202959,1N5819WS,TECH PUBLIC,SOD-323,,Diode 40V 1A Surface Mount SOD-323,,20,20,20,0.0241,0.48,https://www.lcsc.com/product-detail/C7202959.html
84,C53434,TXS0102DCUR,TI,VSSOP-8,,"24Mbps 1 2 VSSOP-8 Translators, Level Shifters RoHS",,10,5,5,0.2111,2.11,https://www.lcsc.com/product-detail/C53434.html
85,C141321,AP2191WG-7,DIODES,SOT-25-5,,"1 Active High 1.5A High Side Switch SOT-25-5 Power Distribution Switches, Load Drivers RoHS",,5,5,5,0.1881,0.94,https://www.lcsc.com/product-detail/C141321.html
86,C220679,USB2514B-I/M2,MICROCHIP,SQFN-36-EP(6x6),,4 Hub USB 2.0 SQFN-36-EP(6x6) Interface Controllers RoHS,,1,1,1,2.6035,2.6,https://www.lcsc.com/product-detail/C220679.html
87,C2158037,AP22653W6-7,DIODES,SOT-26,,"1 Active High 2.1A High Side Switch SOT-26 Power Distribution Switches, Load Drivers RoHS",,5,5,5,0.2538,1.27,https://www.lcsc.com/product-detail/C2158037.html
88,C90627,TPD4EUSB30DQAR,TI,USON-10(1x2.5),,8VC Clamp 5A@8/20us Ipp ESD DIODE USON-10(1x2.5),,10,5,5,0.4997,5,https://www.lcsc.com/product-detail/C90627.html
89,C11355,FSUSB42MUX,onsemi,MSOP-10,,3V~4.4V 720MHz 2 3.9? 2:1 MSOP-10 Analog Switches - Special Purpose RoHS,,5,5,5,0.3168,1.58,https://www.lcsc.com/product-detail/C11355.html
